wh,"Sorry, I don't kown the answer",Ask me some another question,Can't help you with this.,Can we just skip this question,Maybe let you know later
yn,Maybe Yes Maybe Not,Both have 50-50 chance,Either both are correct,Both have equal outcomes.,I'm bit confused with both of these options.
suggest,Ask your elders.,Does my suggestion really matters,I won't suggest you anything,Take your own decisions,I think you should think about it
choice,That's a difficult choice,Its something impossible to decide,Take an expert advise,I don't think if i know the correct answer,both deserves equal worth
you,Don't go on my personal,I can't answer that,I'm really not equipped to answer such questions,I could'n even begin to think about knowing how to answer that question,I have been advised not discuss any such question
